"","ano","titulo","cantantes","genero_del_cantante","genero_de_la_cancion","i_b1","i_b2","i_c4","i_c1","i_c2","i_c3","i_a2","i_a5","i_a6","i_a1","i_a4","i_a3","sin_indicadores","i_a7","dudas","dudas_consultar","genero_agrupado","suma_ic","suma_ia","indicadores_totales","indicadores_feminista"
"43",2014,"CHANGES","FAUL / WAD AD / PNAU",1,"pop",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Pop",0,0,0,0
"44",2014,"DIEZ MIL MANERAS","DAVID BISBAL",1,"pop",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Pop",0,2,2,0
"45",2014,"HAPPY","PHARRELL WILLIAMS",1,"pop",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Pop",0,0,0,0
"46",2014,"HEY BROTHER","AVICII",1,"EDM",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Electronica",0,0,0,0
"47",2014,"LA LA LA","SHAKIRA",0,"pop",0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,"Pop",3,0,3,0
"48",2014,"LOCO","ENRIQUE IGLESIAS / ROMEO SANTOS",1,"regueton",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"regueton",0,2,2,0
"49",2014,"PRAYER IN C","ROBIN SCHULZ, LILLY WOOD & THE PRICK",0,"Pop",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pop",0,0,0,2
"50",2014,"STOLEN DANCE","MILKY CHANCE",1,"pop",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Pop",0,2,2,0
"51",2015,"ARE YOU WITH ME","LOST FREQUENCIES",1,"EDM",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Electronica",0,0,0,0
"52",2015,"CHEERLEADER - FELIX JAEHN REMIX RADIO EDIT","OMI",1,"pop",0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,"Pop",0,4,4,0
"53",2015,"EL NO TE DA","DASOUL",1,"regueton",0,0,0,0,0,0,2,2,1,0,0,2,0,1,0,0,"regueton",0,8,8,0
"54",2015,"EL PERDON","NICKY JAM / ENRIQUE IGLESIAS",1,"regueton",0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,"regueton",0,5,5,0
"55",2015,"LA GOZADERA","GENTE DE ZONA / MARC ANTHONY",1,"regueton",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"regueton",0,0,0,0
"56",2015,"LEAN ON","MAJOR LAZER / MØ / DJ SNAKE",1,"electronica",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Electronica",0,0,0,0
"57",2015,"LOVE ME LIKE YOU DO","ELLIE GOULDING",0,"pop",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,"Pop",4,0,4,0
"58",2015,"THINKING OUT LOUD","ED SHEERAN",1,"pop",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Pop",0,0,0,0
"59",2015,"TRAVESURAS","NICKY JAM",1,"regueton",0,0,0,0,0,0,3,0,0,1,0,3,0,0,0,0,"regueton",0,7,7,0
"60",2015,"UPTOWN FUNK","MARK RONSON FEAT. BRUNO MARS",1,"pop",0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,"Pop",0,5,5,0
"61",2016,"CHEAP THRILLS REMIX","SIA",0,"pop",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pop",0,0,0,4
"62",2016,"DUELE EL CORAZON","ENRIQUE IGLESIAS / WISIN",1,"regueton",0,0,0,0,0,0,0,2,0,1,0,1,0,3,0,0,"regueton",0,7,7,0
"63",2016,"FAIDED","ALAN WALKER",1,"house",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Electronica",0,0,0,0
"64",2016,"HASTA EL AMANECER","NICKY JAM",1,"regueton",0,0,0,0,0,0,1,1,0,4,0,2,0,0,0,0,"regueton",0,8,8,0
"65",2016,"HYMN FOR THE WEEKEND","COLDPLAY / BEYONCE",2,"pop",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Pop",0,0,0,0
"66",2016,"I TOOK A PILL IN IBIZA SEEB REMIX","MIKE POSNER",1,"house",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Electronica",0,0,0,0
"67",2016,"LA BICICLETA","CARLOS VIVES / SHAKIRA",2,"regueton",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"regueton",0,1,1,1
"68",2016,"ONE DANCE","DRAKE / WIZKID / KYLA",1,"hip-hop",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"Hiphop",0,2,2,0
"69",2016,"PICKY","JOEY MONTANA",1,"regueton",0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,"regueton",0,6,6,0
